A,R,S,τ
1150.0,3800.0,522.7843039138635,86.22684504439957
1150.0,3850.0,536.6846791390458,86.22492653398986
1150.0,3900.0,550.7667206786571,86.21747745078406
1150.0,3950.0,565.0304272670453,86.20985525929787
1150.0,4000.0,579.4757976357812,86.20986664905581
1150.0,4050.0,594.1028304957159,86.20928074642542
1150.0,4100.0,608.9115245449367,86.2119766225942
1150.0,4150.0,623.9018784152213,86.21451024166612
1150.0,4200.0,639.0738907793944,86.21948266546882
1150.0,4250.0,654.4275602502014,86.2202369513145
1150.0,4300.0,669.9628855315542,86.22798953961377
1150.0,4350.0,685.6798648822133,86.23720858784483
1150.0,4400.0,701.5784974091866,86.24182588371752
1150.0,4450.0,717.6587809483436,86.25250921998105
1150.0,4500.0,733.9207143104591,86.25894484200882
1150.0,4550.0,750.3642965848549,86.27081905336117
1150.0,4600.0,766.9895255591218,86.28030393364125
1150.0,4650.0,783.7963998985732,86.28884647217858
1150.0,4700.0,800.7849180328188,86.30493011855147
1150.0,4750.0,817.9550784092876,86.31869809526168
1150.0,4800.0,835.3068797016041,86.33172920247304
1150.0,4850.0,852.8403195416705,86.34454030562061
1150.0,4900.0,870.5553970384709,86.36119510874067
1150.0,4950.0,888.4521103422419,86.3784027190916
1150.0,5000.0,906.5304577582797,86.39491242449552
1150.0,5050.0,924.7904374880802,86.41133554056015
1150.0,5100.0,943.2320480951365,86.42495088105991
1150.0,5150.0,961.8552876017769,86.44531721649129
1150.0,5200.0,980.660154424288,86.46332891259564
1150.0,5250.0,999.646646743829,86.47916385565775
1150.0,5300.0,1018.8147628737084,86.49731379583126
1150.0,5350.0,1038.1645009325352,86.51942627922172
1150.0,5400.0,1057.6958591586094,86.54118800933007
1150.0,5450.0,1077.4088357194007,86.56129486510046
1150.0,5500.0,1097.3034287508237,86.57784645854228
1150.0,5550.0,1117.3796364721131,86.60049764068665
1150.0,5600.0,1137.6374569168045,86.61803225984039
1150.0,5650.0,1158.0768880779626,86.64113002684725
1150.0,5700.0,1178.6979273917475,86.66189514504133
1150.0,5750.0,1199.5005758859224,86.68632892503256
1150.0,5800.0,1220.48482827077,86.70619831329205
1150.0,5850.0,1241.6506837972681,86.73245491028604
1150.0,5900.0,1262.9981405319572,86.75562846277143
1150.0,5950.0,1284.5271963716464,86.77580336088546
1150.0,6000.0,1306.2378493736667,86.8011637155384
1200.0,1000.0,34.69853279914301,101.9781674956549
1200.0,1050.0,38.465882560213345,100.32172339571873
1200.0,1100.0,42.41646287607066,98.89486138387458
