t,M,P,model,gene
144.0,0.00039554230091438534,20.661402324818493,Repressilator,Gene 3
145.0,0.0005854773862248554,17.39389706294642,Repressilator,Gene 3
146.0,0.0009870609373719777,14.657137015257785,Repressilator,Gene 3
147.0,0.0017841159492574703,12.378190640371706,Repressilator,Gene 3
148.0,0.003338751043128264,10.505937602905401,Repressilator,Gene 3
149.0,0.006361772915252576,9.017468386356308,Repressilator,Gene 3
150.0,0.012247610514980514,7.932918933953296,Repressilator,Gene 3
0.0,1.0e-6,1000.0,Repressilator,Gene 2
1.0,1.6996333882661967,870.0476103469656,Repressilator,Gene 2
2.0,1.7589666813662574,810.9578204394869,Repressilator,Gene 2
3.0,1.3033861099663202,755.3752496673675,Repressilator,Gene 2
4.0,0.9313818654788762,689.2139118824119,Repressilator,Gene 2
5.0,0.662115499795515,618.0379233066141,Repressilator,Gene 2
6.0,0.4701408370089623,546.996865194735,Repressilator,Gene 2
7.0,0.3337008682485284,479.31140221391354,Repressilator,Gene 2
8.0,0.23682089061704276,416.7628991821043,Repressilator,Gene 2
9.0,0.1680553198172212,360.17571974201945,Repressilator,Gene 2
10.0,0.11925341981544213,309.76396277009707,Repressilator,Gene 2
11.0,0.08462239397959098,265.3683941062924,Repressilator,Gene 2
12.0,0.0600485448586892,226.61503612328283,Repressilator,Gene 2
13.0,0.04261165880979775,193.01948083821517,Repressilator,Gene 2
14.0,0.030239147856543455,164.05406214154252,Repressilator,Gene 2
15.0,0.02146016435811907,139.18986935213837,Repressilator,Gene 2
16.0,0.015230943714798278,117.92199810528837,Repressilator,Gene 2
17.0,0.01081113588050943,99.78362768279183,Repressilator,Gene 2
18.0,0.007676041268424728,84.35138096328315,Repressilator,Gene 2
19.0,0.005453409308385743,71.2465654546014,Repressilator,Gene 2
20.0,0.0038794337208445644,60.135606120919675,Repressilator,Gene 2
21.0,0.002767879935408341,50.727689339559944,Repressilator,Gene 2
22.0,0.0019883679493788256,42.77089163551902,Repressilator,Gene 2
23.0,0.0014516399838670104,36.04811521662451,Repressilator,Gene 2
24.0,0.0011004706133126922,30.373200946405973,Repressilator,Gene 2
25.0,0.000905846401597891,25.58737196136505,Repressilator,Gene 2
26.0,0.0008693540640873838,21.556161370874154,Repressilator,Gene 2
27.0,0.0010348163390345839,18.167043136231886,Repressilator,Gene 2
28.0,0.001516000690873885,15.328139282017418,Repressilator,Gene 2
29.0,0.0025544362837067723,12.9687064727422,Repressilator,Gene 2
30.0,0.004635374252818294,11.04277765516814,Repressilator,Gene 2
31.0,0.0087171436417409,9.538672581404931,Repressilator,Gene 2
32.0,0.016681468120130886,8.499714852097028,Repressilator,Gene 2
33.0,0.03220983051569131,8.066549921757902,Repressilator,Gene 2
34.0,0.062460522985809376,8.560905789162172,Repressilator,Gene 2
35.0,0.12116789332504556,10.647143890884195,Repressilator,Gene 2
36.0,0.23395830683979077,15.632415792664288,Repressilator,Gene 2
37.0,0.44602659518539556,25.98626843303959,Repressilator,Gene 2
38.0,0.8286488936647834,46.11524319820819,Repressilator,Gene 2
39.0,1.4715933798704526,83.15972561251269,Repressilator,Gene 2
40.0,2.441242550681675,146.98849888335755,Repressilator,Gene 2
41.0,3.712905497431816,248.0564980580984,Repressilator,Gene 2
42.0,5.148233109494454,392.5995380402903,Repressilator,Gene 2
43.0,6.563983631804563,578.6709569199331,Repressilator,Gene 2
44.0,7.821540593509229,796.7396251476957,Repressilator,Gene 2
45.0,8.858903856065016,1033.563208142775,Repressilator,Gene 2
46.0,9.673084943767536,1276.0913225221318,Repressilator,Gene 2
47.0,10.291411515258831,1513.7079992315512,Repressilator,Gene 2
48.0,10.750875261143012,1738.9004659018485,Repressilator,Gene 2
49.0,11.087357761899886,1947.0257478542555,Repressilator,Gene 2
50.0,11.331365498587271,2135.727494344029,Repressilator,Gene 2
51.0,11.507129683653705,2304.3083637672544,Repressilator,Gene 2
52.0,11.633152767846054,2453.187267594681,Repressilator,Gene 2
53.0,11.723221970285147,2583.477019040267,Repressilator,Gene 2
54.0,11.787450214799929,2696.676474662927,Repressilator,Gene 2
55.0,11.833177869132236,2794.4568796863127,Repressilator,Gene 2
56.0,11.865694225519857,2878.519968826739,Repressilator,Gene 2
57.0,11.888788077650029,2950.5078881953023,Repressilator,Gene 2
58.0,11.905146004226099,3011.9485670363947,Repressilator,Gene 2
59.0,11.916561418129316,3064.222662427004,Repressilator,Gene 2
60.0,11.923380014421692,3108.533786842526,Repressilator,Gene 2
61.0,11.916855157519576,3145.7970909656487,Repressilator,Gene 2
62.0,11.798162779256016,3175.6258969261175,Repressilator,Gene 2
63.0,10.903350662614251,3187.6933010230277,Repressilator,Gene 2
64.0,8.598736871731546,3138.529131026241,Repressilator,Gene 2
65.0,6.238955847416622,2993.0889614218304,Repressilator,Gene 2
66.0,4.447558249558384,2773.38587283844,Repressilator,Gene 2
67.0,3.1595671173328173,2515.0425746148258,Repressilator,Gene 2
68.0,2.24269381385054,2244.795580289475,Repressilator,Gene 2
69.0,1.5914774267213845,1979.790073783945,Repressilator,Gene 2
70.0,1.129245145650517,1730.143410201876,Repressilator,Gene 2
71.0,0.8012291106922593,1501.2072852447882,Repressilator,Gene 2
72.0,0.5684806248282381,1295.2188037108617,Repressilator,Gene 2
73.0,0.4033387336789932,1112.4490326722162,Repressilator,Gene 2
74.0,0.2861688947015976,951.9837438727149,Repressilator,Gene 2
75.0,0.203037046863924,812.2447273317663,Repressilator,Gene 2
76.0,0.1440556819077303,691.3313350804472,Repressilator,Gene 2
77.0,0.10220912777919489,587.2388793251017,Repressilator,Gene 2
78.0,0.07251960389696703,497.9935380740215,Repressilator,Gene 2
79.0,0.0514553413659592,421.73128938464737,Repressilator,Gene 2
80.0,0.036510563990928516,356.7398576833302,Repressilator,Gene 2
81.0,0.025907451481083702,301.4766863589925,Repressilator,Gene 2
82.0,0.01838466872429302,254.5717947669368,Repressilator,Gene 2
83.0,0.013047322388709159,214.82149480524862,Repressilator,Gene 2
84.0,0.009260504273652317,181.17695053171806,Repressilator,Gene 2
85.0,0.006573759972762201,152.73019499547874,Repressilator,Gene 2
86.0,0.004667496676750786,128.6992907945099,Repressilator,Gene 2
87.0,0.0033149810376433444,108.41372390873428,Repressilator,Gene 2
88.0,0.002355576850570107,91.30053573701295,Repressilator,Gene 2
89.0,0.001675622781077586,76.8711098399553,Repressilator,Gene 2
90.0,0.0011946607863091397,64.70968720386826,Repressilator,Gene 2
91.0,0.0008560325391605844,54.463461929535406,Repressilator,Gene 2
92.0,0.000620395923251938,45.83355245523276,Repressilator,Gene 2
93.0,0.00046144361389865497,38.567074454019306,Repressilator,Gene 2
94.0,0.00036352784630913886,32.45034021703367,Repressilator,Gene 2
95.0,0.0003212611253342069,27.303081040026452,Repressilator,Gene 2
96.0,0.00034172640726153476,22.97361005793144,Repressilator,Gene 2
97.0,0.00045090162910211174,19.334903477358008,Repressilator,Gene 2
98.0,0.000707712357088945,16.281678156372323,Repressilator,Gene 2
99.0,0.001232619392490975,13.72872438280502,Repressilator,Gene 2
100.0,0.0022644861216932774,11.611097049389267,Repressilator,Gene 2
101.0,0.00427289081158051,9.887436572896329,Repressilator,Gene 2
102.0,0.008179274839169906,8.548995760757865,Repressilator,Gene 2
103.0,0.015790890991305467,7.639491564010486,Repressilator,Gene 2
104.0,0.030646169232632373,7.295798509656592,Repressilator,Gene 2
105.0,0.05963585766221378,7.828673432666596,Repressilator,Gene 2
106.0,0.1160098964381134,9.878825589302457,Repressilator,Gene 2
107.0,0.22457054904512927,14.707930725913632,Repressilator,Gene 2
108.0,0.429287954606,24.705584593732322,Repressilator,Gene 2
